"COUNTRY_ALPHA","year","wave","liberal","confidence_gov","freedom_gov","democratic","reason_neediness","system_rating","poverty_compare"
"DEU",2018,7,6.02748691099476,2.5130890052356,NA,7.42931937172775,NA,NA,NA
"DOM",1996,3,5.49640287769784,2.98561151079137,1.45083932853717,NA,1.54676258992806,2.9568345323741,1.19664268585132
"DZA",2002,4,5.94383775351014,2.32527301092044,NA,NA,NA,NA,NA
"DZA",2014,6,7.15083333333333,2.11416666666667,NA,5.09416666666667,NA,NA,NA
"ECU",2013,6,5.43011647254576,2.47088186356073,NA,6.99584026622296,NA,NA,NA
"ECU",2018,7,5.9725,2.86333333333333,NA,6.14833333333333,NA,NA,NA
"EGY",2001,4,6.575,1.92933333333333,NA,NA,NA,7.32266666666667,NA
"EGY",2008,5,7.81514257620452,NA,NA,NA,NA,NA,NA
"EGY",2013,6,7.88509520682863,2.67695338148391,NA,4.65528562048588,NA,NA,NA
"EGY",2018,7,8.45583333333333,NA,NA,3.5575,NA,NA,NA
"ESP",1990,2,5.25165562913907,2.59801324503311,NA,NA,NA,NA,NA
"ESP",1995,3,6.22460776218002,2.76961189099917,1.37489677952106,NA,1.35012386457473,3.13872832369942,1.79768786127168
"ESP",2000,4,6.79404466501241,2.50537634408602,NA,NA,NA,NA,NA
"ESP",2007,5,6.385,2.54333333333333,NA,7.275,NA,NA,NA
"ESP",2011,6,6.45500420521447,2.99915895710681,NA,6.41968040370059,NA,NA,NA
"EST",1996,3,7.19000979431929,2.46523016650343,1.46033300685602,NA,1.48481880509305,4.07345739471107,1.08031341821743
"EST",2011,6,7.24005218525766,2.48140900195695,NA,5.0071754729289,NA,NA,NA
"ETH",2007,5,4.738,2.46933333333333,NA,3.98,NA,NA,NA
"ETH",2020,7,6.05691056910569,2.15040650406504,NA,5.34146341463415,NA,NA,NA
"FIN",1981,1,NA,NA,NA,NA,NA,NA,NA
"FIN",1996,3,5.27760891590679,2.73657548125633,1.32016210739615,NA,1.35562310030395,5.64235055724417,1.26342451874367
"FIN",2005,5,5.01676528599606,2.29289940828402,NA,7.25443786982249,NA,NA,NA
"FRA",2006,5,5.0979020979021,2.96203796203796,NA,6.43756243756244,NA,NA,NA
"GBR",1998,3,NA,NA,NA,NA,NA,NA,NA
"GBR",2005,5,4.9971181556196,2.64841498559078,NA,6.03266090297791,NA,NA,NA
"GEO",1996,3,7.34113545816733,2.56175298804781,1.43376494023904,NA,1.58764940239044,5.3496015936255,1.04432270916335
"GEO",2009,5,7.42333333333333,2.542,NA,3.98666666666667,NA,NA,NA
"GEO",2014,6,7.92845257903494,2.68053244592346,NA,4.55574043261231,NA,NA,NA
