"iso3","year","cow_code","country_name","variable","regime"
"LBR",1880,450,"Liberia","v2x_regime_amb_interpol",0
"LBY",1880,620,"Libya","v2x_regime_amb_interpol",0
"LKA",1880,780,"Sri Lanka","v2x_regime_amb_interpol",0
"LSO",1880,570,"Lesotho","v2x_regime_amb_interpol",0
"LTU",1880,368,"Lithuania","v2x_regime_amb_interpol",0
"LUX",1880,212,"Luxembourg","v2x_regime_amb_interpol",3
"LVA",1880,367,"Latvia","v2x_regime_amb_interpol",0
"MAR",1880,600,"Morocco","v2x_regime_amb_interpol",0
"MDA",1880,359,"Moldova","v2x_regime_amb_interpol",0
"MDG",1880,580,"Madagascar","v2x_regime_amb_interpol",0
"MEX",1880,70,"Mexico","v2x_regime_amb_interpol",0
"MKD",1880,343,"Macedonia","v2x_regime_amb_interpol",0
"MLI",1880,432,"Mali","v2x_regime_amb_interpol",0
"MMR",1880,775,"Burma/Myanmar","v2x_regime_amb_interpol",0
"MNE",1880,341,"Montenegro","v2x_regime_amb_interpol",0
"MNG",1880,712,"Mongolia","v2x_regime_amb_interpol",0
"MOZ",1880,541,"Mozambique","v2x_regime_amb_interpol",0
"MRT",1880,435,"Mauritania","v2x_regime_amb_interpol",0
"MUS",1880,590,"Mauritius","v2x_regime_amb_interpol",0
"MWI",1880,553,"Malawi","v2x_regime_amb_interpol",0
"MYS",1880,820,"Malaysia","v2x_regime_amb_interpol",0
"NAM",1880,565,"Namibia","v2x_regime_amb_interpol",0
"NER",1880,436,"Niger","v2x_regime_amb_interpol",0
"NGA",1880,475,"Nigeria","v2x_regime_amb_interpol",0
"NIC",1880,93,"Nicaragua","v2x_regime_amb_interpol",3
"NLD",1880,210,"Netherlands","v2x_regime_amb_interpol",0
"NOR",1880,385,"Norway","v2x_regime_amb_interpol",3
"NPL",1880,790,"Nepal","v2x_regime_amb_interpol",0
"NZL",1880,920,"New Zealand","v2x_regime_amb_interpol",0
"OMN",1880,698,"Oman","v2x_regime_amb_interpol",0
"PAK",1880,770,"Pakistan","v2x_regime_amb_interpol",0
"PAN",1880,95,"Panama","v2x_regime_amb_interpol",0
"PER",1880,135,"Peru","v2x_regime_amb_interpol",0
"PHL",1880,840,"Philippines","v2x_regime_amb_interpol",0
"PNG",1880,910,"Papua New Guinea","v2x_regime_amb_interpol",0
"POL",1880,290,"Poland","v2x_regime_amb_interpol",0
"PRK",1880,731,"North Korea","v2x_regime_amb_interpol",0
"PRT",1880,235,"Portugal","v2x_regime_amb_interpol",0
"PRY",1880,150,"Paraguay","v2x_regime_amb_interpol",0
"QAT",1880,694,"Qatar","v2x_regime_amb_interpol",0
"ROU",1880,360,"Romania","v2x_regime_amb_interpol",0
"RUS",1880,365,"Russia","v2x_regime_amb_interpol",0
"RWA",1880,517,"Rwanda","v2x_regime_amb_interpol",0
"SAU",1880,670,"Saudi Arabia","v2x_regime_amb_interpol",0
"SDN",1880,625,"Sudan","v2x_regime_amb_interpol",0
"SEN",1880,433,"Senegal","v2x_regime_amb_interpol",0
"SGP",1880,830,"Singapore","v2x_regime_amb_interpol",0
"SLB",1880,940,"Solomon Islands","v2x_regime_amb_interpol",0
"SLE",1880,451,"Sierra Leone","v2x_regime_amb_interpol",0
"SLV",1880,92,"El Salvador","v2x_regime_amb_interpol",0
"SOM",1880,520,"Somalia","v2x_regime_amb_interpol",0
"SRB",1880,NA,"Serbia","v2x_regime_amb_interpol",0
"SSD",1880,626,"South Sudan","v2x_regime_amb_interpol",0
"SUR",1880,115,"Suriname","v2x_regime_amb_interpol",0
"SVK",1880,317,"Slovakia","v2x_regime_amb_interpol",0
"SVN",1880,349,"Slovenia","v2x_regime_amb_interpol",0
"SWE",1880,380,"Sweden","v2x_regime_amb_interpol",0
"SWZ",1880,572,"Swaziland","v2x_regime_amb_interpol",0
"SYR",1880,652,"Syria","v2x_regime_amb_interpol",0
"TCD",1880,483,"Chad","v2x_regime_amb_interpol",0
"TGO",1880,461,"Togo","v2x_regime_amb_interpol",0
"THA",1880,800,"Thailand","v2x_regime_amb_interpol",0
"TJK",1880,702,"Tajikistan","v2x_regime_amb_interpol",0
"TKM",1880,701,"Turkmenistan","v2x_regime_amb_interpol",0
"TLS",1880,860,"Timor-Leste","v2x_regime_amb_interpol",0
"TTO",1880,52,"Trinidad and Tobago","v2x_regime_amb_interpol",0
"TUN",1880,616,"Tunisia","v2x_regime_amb_interpol",0
"TUR",1880,640,"Turkey","v2x_regime_amb_interpol",0
"TZA",1880,510,"Tanzania","v2x_regime_amb_interpol",0
"UGA",1880,500,"Uganda","v2x_regime_amb_interpol",0
"UKR",1880,369,"Ukraine","v2x_regime_amb_interpol",0
"URY",1880,165,"Uruguay","v2x_regime_amb_interpol",0
"USA",1880,2,"United States of America","v2x_regime_amb_interpol",3
"UZB",1880,704,"Uzbekistan","v2x_regime_amb_interpol",0
"VEN",1880,101,"Venezuela","v2x_regime_amb_interpol",0
"VNM",1880,816,"Vietnam","v2x_regime_amb_interpol",0
"YEM",1880,679,"Yemen","v2x_regime_amb_interpol",0
"ZAF",1880,560,"South Africa","v2x_regime_amb_interpol",0
"ZMB",1880,551,"Zambia","v2x_regime_amb_interpol",0
"ZWE",1880,552,"Zimbabwe","v2x_regime_amb_interpol",0
"AFG",1881,700,"Afghanistan","v2x_regime_amb_interpol",0
"AGO",1881,540,"Angola","v2x_regime_amb_interpol",0
"ALB",1881,339,"Albania","v2x_regime_amb_interpol",0
"ARE",1881,696,"United Arab Emirates","v2x_regime_amb_interpol",0
"ARG",1881,160,"Argentina","v2x_regime_amb_interpol",0
"ARM",1881,371,"Armenia","v2x_regime_amb_interpol",0
"AUS",1881,900,"Australia","v2x_regime_amb_interpol",0
"AUT",1881,305,"Austria","v2x_regime_amb_interpol",0
"AZE",1881,373,"Azerbaijan","v2x_regime_amb_interpol",0
"BDI",1881,516,"Burundi","v2x_regime_amb_interpol",0
"BEL",1881,211,"Belgium","v2x_regime_amb_interpol",8
"BEN",1881,434,"Benin","v2x_regime_amb_interpol",0
"BFA",1881,439,"Burkina Faso","v2x_regime_amb_interpol",0
"BGD",1881,771,"Bangladesh","v2x_regime_amb_interpol",0
"BGR",1881,355,"Bulgaria","v2x_regime_amb_interpol",0
"BHR",1881,692,"Bahrain","v2x_regime_amb_interpol",0
"BIH",1881,346,"Bosnia and Herzegovina","v2x_regime_amb_interpol",0
"BLR",1881,370,"Belarus","v2x_regime_amb_interpol",0
"BOL",1881,145,"Bolivia","v2x_regime_amb_interpol",3
"BRA",1881,140,"Brazil","v2x_regime_amb_interpol",0
"BTN",1881,760,"Bhutan","v2x_regime_amb_interpol",0
"BWA",1881,571,"Botswana","v2x_regime_amb_interpol",0
"CAF",1881,482,"Central African Republic","v2x_regime_amb_interpol",0
"CAN",1881,20,"Canada","v2x_regime_amb_interpol",4
"CHE",1881,225,"Switzerland","v2x_regime_amb_interpol",0
"CHL",1881,155,"Chile","v2x_regime_amb_interpol",1
"CHN",1881,710,"China","v2x_regime_amb_interpol",0
"CIV",1881,437,"Ivory Coast","v2x_regime_amb_interpol",0
"CMR",1881,471,"Cameroon","v2x_regime_amb_interpol",3
"COD",1881,490,"Democratic Republic of the Congo","v2x_regime_amb_interpol",0
"COG",1881,484,"Republic of the Congo","v2x_regime_amb_interpol",0
"COL",1881,100,"Colombia","v2x_regime_amb_interpol",0
"COM",1881,581,"Comoros","v2x_regime_amb_interpol",0
"CPV",1881,402,"Cape Verde","v2x_regime_amb_interpol",0
"CRI",1881,94,"Costa Rica","v2x_regime_amb_interpol",0
"CUB",1881,40,"Cuba","v2x_regime_amb_interpol",0
"CYP",1881,352,"Cyprus","v2x_regime_amb_interpol",0
"CZE",1881,316,"Czech Republic","v2x_regime_amb_interpol",0
"DEU",1881,255,"Germany","v2x_regime_amb_interpol",0
"DJI",1881,522,"Djibouti","v2x_regime_amb_interpol",0
"DNK",1881,390,"Denmark","v2x_regime_amb_interpol",0
"DOM",1881,42,"Dominican Republic","v2x_regime_amb_interpol",0
"DZA",1881,615,"Algeria","v2x_regime_amb_interpol",0
"ECU",1881,130,"Ecuador","v2x_regime_amb_interpol",0
"EGY",1881,651,"Egypt","v2x_regime_amb_interpol",0
"ESP",1881,230,"Spain","v2x_regime_amb_interpol",0
"EST",1881,366,"Estonia","v2x_regime_amb_interpol",0
"ETH",1881,530,"Ethiopia","v2x_regime_amb_interpol",0
"FIN",1881,375,"Finland","v2x_regime_amb_interpol",0
"FJI",1881,950,"Fiji","v2x_regime_amb_interpol",0
"FRA",1881,220,"France","v2x_regime_amb_interpol",0
"GAB",1881,481,"Gabon","v2x_regime_amb_interpol",0
"GBR",1881,200,"United Kingdom","v2x_regime_amb_interpol",4
"GEO",1881,372,"Georgia","v2x_regime_amb_interpol",0
"GHA",1881,452,"Ghana","v2x_regime_amb_interpol",0
"GIN",1881,438,"Guinea","v2x_regime_amb_interpol",0
"GMB",1881,420,"The Gambia","v2x_regime_amb_interpol",0
"GNB",1881,404,"Guinea-Bissau","v2x_regime_amb_interpol",0
