"SOURCE","Source","BRANCH","Branch","TYPEXP","Type of Expenditure","TYPROG","Type of Programme","UNIT","Measure","COUNTRY","Country","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","1999","1999","USD","US Dollar","0","Units",,,7164.916,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2000","2000","USD","US Dollar","0","Units",,,7545.809,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2001","2001","USD","US Dollar","0","Units",,,7658.244,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2002","2002","USD","US Dollar","0","Units",,,8120.87,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2003","2003","USD","US Dollar","0","Units",,,8538.823,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2004","2004","USD","US Dollar","0","Units",,,8890.059,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2005","2005","USD","US Dollar","0","Units",,,9089.554,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2006","2006","USD","US Dollar","0","Units",,,9657.947,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2007","2007","USD","US Dollar","0","Units",,,9880.719,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2008","2008","USD","US Dollar","0","Units",,,10541.731,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2009","2009","USD","US Dollar","0","Units",,,11241.422,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2010","2010","USD","US Dollar","0","Units",,,11592.181,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1987","1987","USD","US Dollar","0","Units",,,3826.07,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1988","1988","USD","US Dollar","0","Units",,,4103.192,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1989","1989","USD","US Dollar","0","Units",,,4246.645,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1990","1990","USD","US Dollar","0","Units",,,4582.495,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1991","1991","USD","US Dollar","0","Units",,,4952.585,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1992","1992","USD","US Dollar","0","Units",,,4922.228,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1993","1993","USD","US Dollar","0","Units",,,5187.502,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1994","1994","USD","US Dollar","0","Units",,,5324.539,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1995","1995","USD","US Dollar","0","Units",,,5670.621,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1996","1996","USD","US Dollar","0","Units",,,5889.895,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1997","1997","USD","US Dollar","0","Units",,,5913.059,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1998","1998","USD","US Dollar","0","Units",,,6069.775,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1999","1999","USD","US Dollar","0","Units",,,6291.813,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2000","2000","USD","US Dollar","0","Units",,,6572.101,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2001","2001","USD","US Dollar","0","Units",,,6952.322,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2002","2002","USD","US Dollar","0","Units",,,7419.74,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2003","2003","USD","US Dollar","0","Units",,,7916.222,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2004","2004","USD","US Dollar","0","Units",,,8143.426,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2005","2005","USD","US Dollar","0","Units",,,8409.24,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2006","2006","USD","US Dollar","0","Units",,,8886.301,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2007","2007","USD","US Dollar","0","Units",,,9175.68,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2008","2008","USD","US Dollar","0","Units",,,10013.039,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2009","2009","USD","US Dollar","0","Units",,,10851.079,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","2010","2010","USD","US Dollar","0","Units",,,11338.857,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1987","1987","USD","US Dollar","0","Units",,,2894.45,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1988","1988","USD","US Dollar","0","Units",,,3032.306,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1989","1989","USD","US Dollar","0","Units",,,3221.119,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1990","1990","USD","US Dollar","0","Units",,,3539.856,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1991","1991","USD","US Dollar","0","Units",,,4007.412,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1992","1992","USD","US Dollar","0","Units",,,4239.613,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1993","1993","USD","US Dollar","0","Units",,,4409.071,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1994","1994","USD","US Dollar","0","Units",,,4383.714,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1995","1995","USD","US Dollar","0","Units",,,4319.761,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1996","1996","USD","US Dollar","0","Units",,,4257.198,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1997","1997","USD","US Dollar","0","Units",,,4305.967,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1998","1998","USD","US Dollar","0","Units",,,4528.982,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","1999","1999","USD","US Dollar","0","Units",,,4515.278,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2000","2000","USD","US Dollar","0","Units",,,4647.261,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2001","2001","USD","US Dollar","0","Units",,,4910.787,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2002","2002","USD","US Dollar","0","Units",,,5057.138,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2003","2003","USD","US Dollar","0","Units",,,5314.886,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2004","2004","USD","US Dollar","0","Units",,,5604.403,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2005","2005","USD","US Dollar","0","Units",,,5916.464,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2006","2006","USD","US Dollar","0","Units",,,6251.832,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2007","2007","USD","US Dollar","0","Units",,,6423.755,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2008","2008","USD","US Dollar","0","Units",,,6496.639,,
