iso3c,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COD,NA,NA,NA,NA,1.5123560550334298,NA,NA,NA,NA,NA,NA,NA,11.0573850028171,NA,NA,NA,NA,NA,NA,NA
COG,NA,NA,NA,NA,NA,8.914796809655181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.303389936501105,51.5969051118866,48.8640961709377,NA,65.67668140249758,36.258451938493806,34.4457821234765,33.4225831237034,31.282501483043497,NA
COM,NA,NA,NA,NA,1.98287571888601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPV,NA,NA,NA,NA,NA,NA,NA,29.679646239651596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRI,NA,NA,NA,NA,NA,NA,NA,NA,70.16919455841949,72.67793933232437,67.1519756469872,67.9458180662887,67.33135389881231,NA,66.6317278899999,71.95695888,73.15812597,74.71982884,73.92974819999999,NA
CSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DJI,NA,NA,2.94569267772138,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9419414778463,NA,NA,NA,NA,NA,NA,NA
DMA,NA,NA,20.8397453180603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOM,NA,NA,NA,NA,NA,NA,NA,15.238191905000898,23.145734733386497,29.7039296437885,32.72714638150591,31.275997337743497,35.5482451215505,33.04242953360829,34.53420086929539,31.04564043252289,59.138923157056496,52.2162309154381,53.174321690832294,NA
DZA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECU,NA,NA,NA,NA,NA,NA,NA,NA,63.09270414643701,NA,70.4163391107322,44.92821223167451,73.97964035546019,NA,76.33446320000002,74.9680965,72.57548088939998,74.40946246000001,31.99717659,NA
EGY,NA,NA,NA,NA,NA,NA,NA,NA,55.453205446020704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ERI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ETH,NA,NA,NA,NA,0.5144735898525128,NA,NA,NA,NA,NA,13.2479485078869,NA,NA,NA,NA,23.150861134838507,NA,NA,21.663557736057502,NA
EUU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
