iso3c,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
POL,NA,NA,NA,NA,NA,79.65830020725107,77.73842041602438,74.84988707548148,71.090456141968,70.60611633738988,66.449090144786,65.53343619762137,64.41412591020472,NA,NA,61.083933890000004,NA,NA,NA,NA
PRE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY,NA,NA,NA,NA,NA,NA,NA,37.17753794812231,43.724368252513706,45.3742389972391,54.21751443529289,52.27019031623281,68.17921857438898,63.177257916062295,62.23301424808011,66.8305355793675,66.6595232671257,68.019496421512315,68.35523026045219,NA
PSE,NA,NA,NA,NA,NA,NA,NA,11.489649481347202,NA,10.717261348320898,NA,NA,NA,NA,NA,NA,24.3847563194397,NA,NA,NA
PSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PYF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROU,NA,NA,NA,NA,NA,NA,NA,NA,82.7931079733646,NA,NA,84.16328293206548,83.68854881833927,NA,NA,NA,81.43600407000001,NA,NA,NA
RUS,NA,NA,NA,NA,NA,NA,NA,58.74847916336229,NA,NA,NA,NA,NA,NA,78.21587463034831,77.09177075009269,77.87514109157259,77.52106422000001,NA,NA
RWA,NA,NA,NA,NA,NA,34.45841269,NA,NA,NA,NA,27.897505520000003,NA,NA,28.39677002,NA,NA,NA,NA,NA,NA
SAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.44815552491968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.78661922307529,NA,NA,NA,NA,NA,NA,NA,NA
SGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLB,NA,NA,NA,NA,NA,1.58338080901487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.1557655033464,NA,NA,NA,NA,NA,NA,17.023487413791297,NA
SLV,NA,NA,NA,NA,NA,NA,NA,34.91329190310619,39.667969000697994,48.2000725714032,62.336525251829904,58.051769890839296,60.18910174663981,NA,58.0928985930571,89.11105963000001,89.41050086000001,84.59020859,82.78572614999999,NA
SMR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRB,NA,NA,NA,NA,NA,NA,NA,62.03983752081629,NA,NA,65.05752318414132,NA,NA,63.1796282326637,NA,61.0367943043726,NA,NA,NA,NA
SSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SSD,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.24150800758409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SSF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SVK,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.6191052068376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SVN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWZ,44.35984760763408,NA,NA,NA,NA,NA,NA,NA,NA,51.6492948080344,NA,NA,NA,NA,NA,NA,81.20110878000001,NA,NA,NA
SXM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYR,NA,NA,NA,8.193798539067812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9743689544958896,NA,NA,NA,NA,NA,NA,NA,NA
TEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0095753781672103,NA,NA,NA,NA,NA,NA,NA,NA
THA,NA,NA,NA,NA,NA,NA,53.9879360889706,NA,NA,70.50222723565459,NA,68.85828663467919,NA,65.39729275531441,NA,NA,NA,70.48109944837883,71.8810091018782,NA
TJK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2887297555385,NA,NA,NA,NA,NA,NA,NA,NA
TKM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLS,NA,NA,NA,NA,NA,NA,NA,26.26864786476589,NA,NA,NA,35.3284098277873,NA,NA,NA,NA,NA,NA,NA,NA
TMN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TON,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2882738928959399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TTO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4259315892507,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUR,NA,NA,NA,NA,51.7030829544873,53.04612605426339,55.206763280846,58.692889983359706,63.7913990524853,48.12237836042092,48.572756736695204,49.06954273256431,47.93769349891259,48.86560122,50.347339940000005,50.185251400191596,50.36213194059131,NA,49.6640478,NA
TUV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TZA,NA,NA,NA,NA,NA,NA,NA,NA,8.77900075683078,NA,20.267785935109597,NA,24.608407504305397,NA,12.883785387855202,NA,NA,NA,NA,NA
UGA,NA,NA,NA,NA,NA,10.5921138800536,NA,NA,NA,7.197799802939049,NA,NA,60.71393175977639,NA,NA,NA,1.1887818312653102,NA,NA,NA
UKR,NA,NA,NA,NA,NA,NA,70.05714777778378,NA,NA,NA,NA,72.04236319461221,71.3867056286272,71.71273713962587,NA,70.30831254623858,67.60232638999999,NA,NA,NA
UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
URY,NA,NA,NA,NA,NA,NA,NA,NA,71.87366407994811,77.0370620479213,79.73852831902109,78.45665685700959,79.90515587,NA,NA,77.87495521,77.62310180999988,76.3746756,75.96149072999991,NA
USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UZB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.161085939035,NA
VCT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VEN,NA,NA,NA,NA,NA,NA,14.523409268338202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VGB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VNM,NA,NA,NA,NA,NA,NA,37.448703411767994,NA,NA,NA,55.0599142905182,NA,40.44655166299749,NA,34.85793265365069,NA,NA,NA,NA,NA
VUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WSM,NA,NA,NA,NA,NA,NA,NA,NA,33.638067666369196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XKX,NA,NA,NA,NA,NA,NA,25.499965288690404,NA,NA,NA,NA,44.410849838886996,45.366779010229905,44.5273860454188,NA,NA,NA,NA,NA,NA
YEM,NA,NA,NA,NA,NA,21.2648913620819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZAF,NA,NA,NA,NA,NA,58.5375368130115,NA,NA,NA,NA,62.76357869206711,NA,NA,NA,79.8475366385436,NA,NA,NA,NA,NA
ZMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6216888637976201,NA,NA,NA,NA,2.31449956142603,NA,NA,NA,NA
ZWE,NA,NA,NA,NA,NA,NA,NA,20.904725340712798,NA,NA,NA,29.551856449072904,NA,NA,NA,NA,NA,15.314515459999999,NA,36.74277370000001
