"SOURCE","Source","BRANCH","Branch","TYPEXP","Type of Expenditure","TYPROG","Type of Programme","UNIT","Measure","COUNTRY","Country","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","1988","1988","USD","US Dollar","0","Units",,,,"m","Data not available"
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","1989","1989","USD","US Dollar","0","Units",,,,"m","Data not available"
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","1990","1990","USD","US Dollar","0","Units",,,4499.365,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","1991","1991","USD","US Dollar","0","Units",,,4829.948,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","1992","1992","USD","US Dollar","0","Units",,,5134.334,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","1993","1993","USD","US Dollar","0","Units",,,5525.183,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","1994","1994","USD","US Dollar","0","Units",,,5949.371,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","1995","1995","USD","US Dollar","0","Units",,,6215.132,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","1996","1996","USD","US Dollar","0","Units",,,6472.163,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","1997","1997","USD","US Dollar","0","Units",,,6571.681,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","1998","1998","USD","US Dollar","0","Units",,,6837.239,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","1999","1999","USD","US Dollar","0","Units",,,7164.916,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2000","2000","USD","US Dollar","0","Units",,,7548.794,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2001","2001","USD","US Dollar","0","Units",,,7651.953,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2002","2002","USD","US Dollar","0","Units",,,8120.87,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2003","2003","USD","US Dollar","0","Units",,,8539.215,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2004","2004","USD","US Dollar","0","Units",,,8886.913,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2005","2005","USD","US Dollar","0","Units",,,9089.554,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2006","2006","USD","US Dollar","0","Units",,,9655.064,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2007","2007","USD","US Dollar","0","Units",,,9881.708,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2008","2008","USD","US Dollar","0","Units",,,10542.253,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2009","2009","USD","US Dollar","0","Units",,,11252.146,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2010","2010","USD","US Dollar","0","Units",,,11590.006,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2011","2011","USD","US Dollar","0","Units",,,11893.002,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2012","2012","USD","US Dollar","0","Units",,,12599.981,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2013","2013","USD","US Dollar","0","Units",,,13190.684,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2014","2014","USD","US Dollar","0","Units",,,13536.306,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2015","2015","USD","US Dollar","0","Units",,,13855.019,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2016","2016","USD","US Dollar","0","Units",,,14583.594,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUT","Austria","2017","2017","USD","US Dollar","0","Units",,,14899.957,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1985","1985","USD","US Dollar","0","Units",,,3567.35,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1986","1986","USD","US Dollar","0","Units",,,3680.118,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1987","1987","USD","US Dollar","0","Units",,,3819.186,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1988","1988","USD","US Dollar","0","Units",,,4096.858,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1989","1989","USD","US Dollar","0","Units",,,4241.41,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","BEL","Belgium","1990","1990","USD","US Dollar","0","Units",,,4583.042,,
