mod_b,mod_se,mod_var,mod_imputed,ri_cyear,ri_country,estimation,control_gdp,control_gini,control_socx,control_fb,i_level_control,gdp_m_interaction,count,incdiff_grand_mean,incdiff_within_cyear,pref_mods
-0.08425874198040179,0.0032365786826948992,A2_Corruption_percept,No,Yes,Yes,GLM,Yes,No,No,No,Yes,No,38,Yes,No,0
-0.0842802822204689,0.0032364468013010264,A2_Corruption_percept,No,Yes,Yes,GLM,No,No,No,No,Yes,No,39,Yes,No,0
-0.08428940692078782,0.0032365045122274626,A2_Corruption_percept,No,Yes,Yes,GLM,No,No,No,Yes,Yes,No,40,Yes,No,0
-0.08429000730988616,0.003240148764247099,A2_Corruption_percept,No,Yes,No,GLM,No,Yes,No,No,Yes,No,41,No,Yes,0
-0.08429035173561687,0.0032401473871410437,A2_Corruption_percept,No,Yes,No,GLM,No,No,Yes,No,Yes,No,42,No,Yes,0
-0.08429380014746915,0.003240149822153196,A2_Corruption_percept,No,Yes,No,GLM,No,No,No,Yes,Yes,No,43,No,Yes,0
-0.08429464706878655,0.003240148746590861,A2_Corruption_percept,No,Yes,No,GLM,No,No,No,No,Yes,No,44,No,Yes,1
-0.0842955075350991,0.0032401499902082287,A2_Corruption_percept,No,Yes,No,GLM,Yes,No,No,No,Yes,No,45,No,Yes,0
-0.0842973819374834,0.003240141830367786,A2_Corruption_percept,No,Yes,Yes,GLM,No,No,Yes,No,Yes,No,46,No,Yes,0
-0.08429788581147675,0.00323651215424473,A2_Corruption_percept,No,Yes,Yes,GLM,No,No,Yes,No,Yes,No,47,Yes,No,0
-0.08429857491749788,0.003240145293209986,A2_Corruption_percept,No,Yes,Yes,GLM,Yes,No,No,No,Yes,No,48,No,Yes,0
-0.08429965174812448,0.003240141158165854,A2_Corruption_percept,No,Yes,Yes,GLM,No,Yes,No,No,Yes,No,49,No,Yes,0
-0.08430016223820569,0.0032401405717301366,A2_Corruption_percept,No,Yes,Yes,GLM,No,No,No,No,Yes,No,50,No,Yes,0
-0.08430083384143588,0.003240143091091808,A2_Corruption_percept,No,Yes,Yes,GLM,No,No,No,Yes,Yes,No,51,No,Yes,0
-0.08430707595475008,0.0032368005945525406,A2_Corruption_percept,No,Yes,Yes,GLM,No,Yes,No,No,Yes,No,52,Yes,No,0
-0.08933231647558908,0.0031962167426813287,A2_Corruption_percept,No,Yes,No,GLM,No,No,No,Yes,No,No,53,Yes,No,0
-0.08933315875788975,0.003196244660649839,A2_Corruption_percept,No,Yes,No,GLM,Yes,No,No,No,No,No,54,Yes,No,0
-0.08934080099022491,0.0031962017042336272,A2_Corruption_percept,No,Yes,No,GLM,No,No,No,No,No,No,55,Yes,No,0
-0.08942837557143458,0.003196510921604038,A2_Corruption_percept,No,Yes,No,GLM,No,Yes,No,No,No,No,56,Yes,No,0
-0.0895003873437055,0.0031965623300054,A2_Corruption_percept,No,Yes,No,GLM,No,No,Yes,No,No,No,57,Yes,No,0
-0.08957997663309257,0.0031958884586981706,A2_Corruption_percept,No,Yes,Yes,GLM,No,No,No,No,No,No,58,Yes,No,0
-0.08958125266958193,0.0031960446370360744,A2_Corruption_percept,No,Yes,Yes,GLM,Yes,No,No,No,No,No,59,Yes,No,0
-0.08959361016259995,0.0031958424668201966,A2_Corruption_percept,No,Yes,Yes,GLM,No,No,No,Yes,No,No,60,Yes,No,0
-0.08959570942940163,0.0031959938642658996,A2_Corruption_percept,No,Yes,Yes,GLM,No,No,Yes,No,No,No,61,Yes,No,0
-0.08959976788498748,0.0031962631794877185,A2_Corruption_percept,No,Yes,Yes,GLM,No,Yes,No,No,No,No,62,Yes,No,0
-0.08960798803176921,0.003199630081345815,A2_Corruption_percept,No,Yes,Yes,GLM,No,No,No,No,No,No,63,No,Yes,0
-0.08960798803176924,0.003199632781294385,A2_Corruption_percept,No,Yes,No,GLM,Yes,No,No,No,No,No,64,No,Yes,0
-0.08960798803176927,0.003199630988190691,A2_Corruption_percept,No,Yes,Yes,GLM,No,No,Yes,No,No,No,65,No,Yes,0
-0.08960798803176927,0.0031996301146288283,A2_Corruption_percept,No,Yes,Yes,GLM,Yes,No,No,No,No,No,66,No,Yes,0
-0.08960798803176927,0.003199629846506845,A2_Corruption_percept,No,Yes,Yes,GLM,No,No,No,Yes,No,No,67,No,Yes,0
-0.08960798803176927,0.003199632791007167,A2_Corruption_percept,No,Yes,No,GLM,No,No,No,Yes,No,No,68,No,Yes,0
-0.08960798803176928,0.003199632765277552,A2_Corruption_percept,No,Yes,No,GLM,No,No,No,No,No,No,69,No,Yes,0
-0.08960798803176928,0.0031996327836151654,A2_Corruption_percept,No,Yes,No,GLM,No,No,Yes,No,No,No,70,No,Yes,0
-0.08960798803176928,0.0031996326847253597,A2_Corruption_percept,No,Yes,No,GLM,No,Yes,No,No,No,No,71,No,Yes,0
-0.08960798803176931,0.003199630203257583,A2_Corruption_percept,No,Yes,Yes,GLM,No,Yes,No,No,No,No,72,No,Yes,0
-0.09443412188384895,0.00287534623530246,A2_Corruption_percept,Yes,Yes,No,GLM,No,No,No,Yes,Yes,No,73,Yes,No,0
-0.09443738037829628,0.0028753174704603565,A2_Corruption_percept,Yes,Yes,No,GLM,No,No,No,No,Yes,No,74,Yes,No,0
-0.0944390472239262,0.002875349008692689,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,No,No,No,Yes,No,75,Yes,No,0
-0.09449607394596275,0.0028754326783560703,A2_Corruption_percept,Yes,Yes,No,GLM,No,Yes,No,No,Yes,No,76,Yes,No,0
-0.09451485578718744,0.002875785249528148,A2_Corruption_percept,Yes,Yes,Yes,GLM,Yes,No,No,No,Yes,No,77,Yes,No,0
